scientific_name,evalid,status
Castanea dentata,PortlandOR2018Curr,NA
Larix decidua,PortlandOR2018Curr,NA
Juniperus virginiana,PortlandOR2018Curr,NA
Picea abies,PortlandOR2018Curr,NA
Zelkova serrata,PortlandOR2018Curr,NA
Betula occidentalis,PortlandOR2018Curr,NA
Ficus carica,PortlandOR2018Curr,NA
Ilex aquifolium,PortlandOR2018Curr,NA
Cryptomeria japonica,PortlandOR2018Curr,NA
Fraxinus americana,PortlandOR2018Curr,NA
Picea sitchensis,PortlandOR2018Curr,NA
Sorbus aucuparia,PortlandOR2018Curr,NA
Chamaecyparis obtusa,PortlandOR2018Curr,NA
Pinus nigra,PortlandOR2018Curr,NA
Cydonia oblonga,PortlandOR2018Curr,NA
Cupressocyparis leylandii,PortlandOR2018Curr,NA
Acacia farnesiana,SanAntonio2018Curr,NA
Parkinsonia aculeata,SanAntonio2018Curr,NA
Prosopis glandulosa,SanAntonio2018Curr,NA
Celtis laevigata,SanAntonio2018Curr,NA
Lagerstroemia indica,SanAntonio2018Curr,NA
Ulmus crassifolia,SanAntonio2018Curr,NA
Diospyros texana,SanAntonio2018Curr,NA
Juniperus ashei,SanAntonio2018Curr,NA
Quercus virginiana,SanAntonio2018Curr,NA
Sideroxylon lanuginosum,SanAntonio2018Curr,NA
Sophora affinis,SanAntonio2018Curr,NA
Triadica sebifera,SanAntonio2018Curr,NA
Sophora secundiflora,SanAntonio2018Curr,NA
Juglans microcarpa,SanAntonio2018Curr,NA
Quercus texana,SanAntonio2018Curr,NA
Quercus laceyi,SanAntonio2018Curr,NA
Condalia hookeri,SanAntonio2018Curr,NA
Carya texana,SanAntonio2018Curr,NA
Quercus marilandica,SanAntonio2018Curr,NA
Juglans nigra,SanAntonio2018Curr,NA
Quercus stellata,SanAntonio2018Curr,NA
Quercus fusiformis,SanAntonio2018Curr,NA
Celtis laevigata reticulata,SanAntonio2018Curr,NA
Prunus serotina,SanAntonio2018Curr,NA
Quercus havardii,SanAntonio2018Curr,NA
Quercus buckleyi,SanAntonio2018Curr,NA
Cycas circinalis,SanAntonio2018Curr,NA
Family Arecaceae not listed above,SanAntonio2018Curr,NA
Ligustrum lucidum,SanAntonio2018Curr,NA
Quercus sinuata breviloba,SanAntonio2018Curr,NA
Carya illinoinensis,SanAntonio2018Curr,NA
Prunus persica,SanAntonio2018Curr,NA
Melia azedarach,SanAntonio2018Curr,NA
Acacia greggii,SanAntonio2018Curr,NA
Cyathea tenera,SanAntonio2018Curr,NA
Salix nigra,SanAntonio2018Curr,NA
Fraxinus velutina,SanAntonio2018Curr,NA
Morus alba,SanAntonio2018Curr,NA
Ailanthus altissima,SanAntonio2018Curr,NA
Ligustrum japonicum,SanAntonio2018Curr,NA
Citrus spp.,SanAntonio2018Curr,NA
Malus spp.,SanAntonio2018Curr,NA
Pyrus calleryana,SanAntonio2018Curr,NA
Baccharis halimifolia,SanAntonio2018Curr,NA
Quercus shumardii,SanAntonio2018Curr,NA
Pistacia chinensis,SanAntonio2018Curr,NA
Eriobotrya japonica,SanAntonio2018Curr,NA
Magnolia grandiflora,SanAntonio2018Curr,NA
Washingtonia robusta,SanAntonio2018Curr,NA
Fraxinus pennsylvanica,SanAntonio2018Curr,NA
Quercus sinuata sinuata,SanAntonio2018Curr,NA
Ligustrum sinense,SanAntonio2018Curr,NA
Quercus macrocarpa,SanAntonio2018Curr,NA
Maclura pomifera,SanAntonio2018Curr,NA
Ungnadia speciosa,SanAntonio2018Curr,NA
Sapindus saponaria drummondii,SanAntonio2018Curr,NA
Celtis occidentalis,SanAntonio2018Curr,NA
Ehretia anacua,SanAntonio2018Curr,NA
Morus rubra,SanAntonio2018Curr,NA
Firmiana simplex,SanAntonio2018Curr,NA
Koelreuteria paniculata,SanAntonio2018Curr,NA
Platycladus orientalis,SanAntonio2018Curr,NA
Quercus polymorpha,SanAntonio2018Curr,NA
Ulmus parvifolia,SanAntonio2018Curr,NA
